scor	metoda	cale	titlu_local	->	titlu_youtube	id
1.00	fuzzy	CODIN&RAMO/DPS	DPS #12 - Cei mai Saritori Jugadori	->	DPS #12 - Cei mai Saritori Jugadori	JNEF6mQNUn4
1.00	fuzzy	CODIN&RAMO/DPS	DPS #13 - Sa fluieram cu Fetzele	->	DPS #13 - Sa fluieram cu Fetzele	nbtsadUMXmo
1.00	fuzzy	CODIN&RAMO/DPS	DPS #14 - Survivorii Survivand	->	DPS #14 - Survivorii Survivand	GtTdbN-HA8I
1.00	fuzzy	CODIN&RAMO/DPS	DPS #15 - Stam Acasa si invatzam LOL	->	DPS #15 - Stam Acasa si invatzam LOL	TmrlHO6Cwjk
1.00	fuzzy	CODIN&RAMO/DPS	DPS #16 - Aventuri Culinare In Carantina	->	DPS #16 - Aventuri Culinare In Carantina	ommdaeDNkY0
1.00	fuzzy	CODIN&RAMO/DPS	DPS #17 - Editie DUBLA!	->	DPS #17 - Editie DUBLA!	Lk2w35zxtsc
1.00	fuzzy	CODIN&RAMO/DPS	DPS #18 - Cum sa-ti omori prietenii？	->	DPS #18 - Cum sa-ti omori prietenii?	dl4VqosBAf8
1.00	fuzzy	CODIN&RAMO/DPS	DPS #19 - CLOUT Testoasa Departe	->	DPS #19 - CLOUT Testoasa Departe	47CltzfzaHM
1.00	fuzzy	CODIN&RAMO/DPS	DPS #20 - Rechinu Superliminal Pictural	->	DPS #20 - Rechinu Superliminal Pictural	p1Tx3yymA-I
1.00	fuzzy	CODIN&RAMO/DPS	DPS #21 - Clipe din Streamul Caritabil	->	DPS #21 - Clipe din Streamul Caritabil	Dhggs6idiXA
1.00	fuzzy	CODIN&RAMO/DPS	DPS #22 - HAHAOS	->	DPS #22 - HAHAOS	x84TXlGJohs
1.00	fuzzy	CODIN&RAMO/DPS	DPS #23 - SCHMUTZ si skinuri	->	DPS #23 - SCHMUTZ si skinuri	GjAJ98h7dq8
1.00	fuzzy	CODIN&RAMO/DPS	DPS #24 - Ardem parchetu, fierbem vinu si facem shoutout catre streameri care ne plac	->	DPS #24 - Ardem parchetu, fierbem vinu si facem shoutout catre streameri care ne plac	gv95oPTABAc
1.00	fuzzy	CODIN&RAMO/DPS	DPS #25 - Si Jeleuri Picante	->	DPS #25 - Si Jeleuri Picante	glNq-D7IaZs
1.00	fuzzy	CODIN&RAMO/DPS	DPS #26 - COSMARURI DIN DESENE	->	DPS #26 - COSMARURI DIN DESENE	0vYRMzGqJok
1.00	fuzzy	CODIN&RAMO/DPS	DPS #27 - EXPERIMENTE COOLINARE	->	DPS #27 - EXPERIMENTE COOLINARE	QhBtC7ZgnPM
1.00	fuzzy	CODIN&RAMO/DPS	DPS #28 - Cu React, Povesti din State, Foto si Quick	->	DPS #28 - Cu React, Povesti din State, Foto si Quick	W1e-bOMdH58
1.00	fuzzy	CODIN&RAMO/DPS	DPS #30 Ciupercogirafa presedinte!	->	DPS #30 Ciupercogirafa presedinte!	6rbfYB9HL-0
1.00	fuzzy	CODIN&RAMO/DPS	DPS #31 Winter Recap!	->	DPS #31 Winter Recap!	6ZkfWp25hQs
1.00	fuzzy	CODIN&RAMO/DPS	DPS 32 - HaOsArE pe doua mii douaj doi	->	DPS 32 - HaOsArE pe doua mii douaj doi	V6ZtUDjlcRY
1.00	fuzzy	CODIN&RAMO/DPS	DPS 33 - Poezia de pe Elden Rift	->	DPS 33 - Poezia de pe Elden Rift	TNY_VYnZpr8
1.00	fuzzy	CODIN&RAMO/DPS	DPS 34 -  Mult prea picant 🔥	->	DPS 34 -  Mult prea picant 	N4teAvbedPM
1.00	fuzzy	CODIN&RAMO/DPS	DPS 35 - Call of Dovleci： Warzone 3	->	DPS 35 - Call of Dovleci: Warzone 3	kehI2eHT0J4
1.00	fuzzy	CODIN&RAMO/Educational	28	->	28	W5wD5jaQQGw
1.00	fuzzy	CODIN&RAMO/Educational	CM la RedSchool Brains and Talents	->	CM la RedSchool Brains and Talents	heLh9S36umc
1.00	fuzzy	CODIN&RAMO/Educational	Concurs Imagineaza-ti asta	->	CONCURS: IMAGINEAZA-TI ASTA!	Mui4yI2UqbQ
1.00	fuzzy	CODIN&RAMO/Educational	Concurs SuperCoders	->	Concurs SuperCoders	kRDBimU25n8
1.00	fuzzy	CODIN&RAMO/Educational	CONCURS： IMAGINEAZA-TI ASTA!	->	CONCURS: IMAGINEAZA-TI ASTA!	Mui4yI2UqbQ
1.00	fuzzy	CODIN&RAMO/Educational	Despre Conflictul din Siria	->	Despre Conflictul din Siria	x9SS3XK2oMA
1.00	fuzzy	CODIN&RAMO/Educational	RObotzi.Special.Acta	->	RObotzi.Special.Acta	5bQV_pdr2lI
1.00	fuzzy	CODIN&RAMO/Educational	Update Imagineaza-ti asta	->	Update "Imagineaza-ti asta"	LqPNv74d7Is
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea - 13.04.2016	->	La Cafea - 13.04.2016	tMBznb1PKx4
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 04.05.2016	->	La Cafea 04.05.2016	HUSdVEyTIyM
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 05 05 2016	->	La Cafea 05 05 2016	hxO25TDzt-0
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 09.05.2016	->	La Cafea 09.05.2016	NZhVSA1Dzeg
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 14.04.2016	->	La Cafea 14.04.2016	b1PCnZY0n5U
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 15.04.2016	->	La Cafea 15.04.2016	HpG96_JZjHo
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 18.04.2016	->	La Cafea 18.04.2016	lxzTB3ymhKY
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 18.05.2016	->	La Cafea 18.05.2016	-FPIjEpa0KQ
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 19.04.2016	->	La Cafea 19.04.2016	0eQZzUGJrn0
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 21.04.2016	->	La Cafea 21.04.2016	ZOGb0v3jimY
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 22.04.2016	->	La Cafea 22.04.2016	7jBgPUc-3Xw
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 26.04.2016	->	La Cafea 26.04.2016	pDiDJtGPXvk
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 27.04.2016	->	La Cafea 27.04.2016	k7_rq3VmR6U
1.00	fuzzy	CODIN&RAMO/Q&A	IOBAGG - Q&A Dezvirginam 33 de intrebari	->	IOBAGG - Q&A Dezvirginam 33 de intrebari	A4nGpoSoS9I
1.00	fuzzy	CODIN&RAMO/Q&A	Q & A ❌ 30.334 de € caritate ❌ Suspendare ❌ Podcast	->	Q & A  30.334 de � caritate  Suspendare  Podcast	Z-Hh0EcSjUg
1.00	fuzzy	CODIN&RAMO/Q&A	Q&A - IN PREUNA	->	Q&A - IN PREUNA	H6yJoKTAPBY
1.00	fuzzy	CODIN&RAMO/Q&A	Q&A - Ramo isi arata pisicuta la camera X Parere 5gang the movie	->	Q&A - Ramo isi arata pisicuta la camera X Parere 5gang the movie	LyZ4AKIw_Y8
1.00	fuzzy	CODIN&RAMO/Q&A	Q&A 4K █▬█ █ ▀█▀ OFFICIAL MO SI FOCA ARATA CA OAMENI! Do you need a website？	->	Q&A 4K    OFFICIAL MO SI FOCA ARATA CA OAMENI! Do you need a website?	-B-LsBZ7uvU
1.00	fuzzy	CODIN&RAMO/Q&A	Q&A-ul ala cu teaser videoclip	->	Q&A-ul ala cu teaser videoclip	uOd9sik0cXA
1.00	fuzzy	CSP/Gameplay	Codin prin PUBG - DUO Boostat #1	->	Codin prin PUBG - DUO Boostat #1	TiE5jLWGy_A
1.00	fuzzy	IOBAGG/OUTLAST/OUTLAST2	IOBAGG joaca MINECRAFT 2	->	IOBAGG joaca MINECRAFT 2	vqwC4mC6NXI
1.00	fuzzy	IOBAGG/OUTLAST/OUTLAST2	IOBAGG joaca MINECRAFT P2	->	IOBAGG joaca MINECRAFT P2	xgffRxS4_0U
1.00	fuzzy	IOBAGG/PUBG	PUBG MOMENTE si Tutorial Shadowplay Highlights	->	PUBG MOMENTE si Tutorial Shadowplay Highlights	TMKS4m5iTWY
1.00	fuzzy	IOBAGG/Songs	IOBAGG - CABANA PUERCO RICO	->	IOBAGG - CABANA PUERCO RICO	AvEB15_y5K4
1.00	fuzzy	IOBAGG/Songs	IOBAGG - DUPA GEAMANDURA	->	IOBAGG - DUPA GEAMANDURA	s0T2bKcckDs
1.00	fuzzy	IOBAGG/Songs	IOBAGG - LENE	->	IOBAGG - LENE	HfwJfQTsCxs
1.00	fuzzy	IOBAGG/Songs	IOBAGG feat. Ninja Ramo - KKTGRS	->	IOBAGG feat. Ninja Ramo - KKTGRS	csc9Hi5nfv8
1.00	fuzzy	IOBAGG/Songs	IOBAGG X CSP - VIN	->	IOBAGG X CSP - VIN	u_CeXQrFOOU
1.00	fuzzy	IOBAGG/Songs	IOBAGG X MO X BAZOOKA - BE CU MINE	->	IOBAGG X MO X BAZOOKA - BE CU MINE	p3VhAqf8KW0
1.00	fuzzy	IOBAGG/Songs	IOBAGG x NJRAMO - IOBAGG	->	IOBAGG x NJRAMO - IOBAGG	9zOm209X7m0
1.00	fuzzy	MiEZ	MiEZ Classic 01	->	MiEZ Classic 01	cmISV9SXlHE
1.00	fuzzy	MiEZ	MiEZ Classic 02	->	MiEZ Classic 02	5ySWXpLAGTE
1.00	fuzzy	MiEZ	MiEZ Classic 04	->	MiEZ Classic 04	WsywAAZUz5Y
1.00	fuzzy	MiEZ	MiEZ Classic 05	->	MiEZ Classic 05	pK1IDe-Y_UU
1.00	fuzzy	MiEZ	MiEZ Classic 06	->	MiEZ Classic 06	YLGWbS6Tjuc
1.00	fuzzy	MiEZ	MiEZ Classic 07	->	MiEZ Classic 07	ueyn1MVqzbY
1.00	fuzzy	MiEZ	MiEZ Classic 08	->	MiEZ Classic 08	hbBI7ARBFow
1.00	fuzzy	MiEZ	MiEZ CM la Comic Con	->	MiEZ - CM la Comic Con	zrK3Kg1p-TI
1.00	fuzzy	MiEZ	MiEZ Gamescom	->	MiEZ Gamescom	v5aQtLzEeco
1.00	fuzzy	MiEZ	MiEZ Informativ	->	MiEZ Informativ	7Ntbk0HUzlE
1.00	fuzzy	MONSTRII Recomand	Monstrii Recomand 01	->	Monstrii Recomand 01	IwStiv8kBN8
1.00	fuzzy	MONSTRII Recomand	Monstrii Recomand 02	->	Monstrii Recomand 02	RLh_DrFwtkw
1.00	fuzzy	MONSTRII Recomand	Monstrii Recomand 03	->	Monstrii Recomand 03	EP2Bil9C_vg
1.00	fuzzy	NinjaRamo/Gameplay	NinjaRamo vs. 5 Nights at Freddy's 3	->	NinjaRamo vs. 5 Nights at Freddy's 3	JmIGCiFmWio
1.00	fuzzy	NinjaRamo/Muzica	IOBAGG feat. Ninja Ramo - KKTGRS	->	IOBAGG feat. Ninja Ramo - KKTGRS	csc9Hi5nfv8
1.00	fuzzy	NinjaRamo/Muzica	IOBAGG x NJRAMO - IOBAGG	->	IOBAGG x NJRAMO - IOBAGG	9zOm209X7m0
1.00	fuzzy	NinjaRamo/Muzica	IOBAGG X NJRAMO - SEFU-I SEF	->	IOBAGG X NJRAMO - SEFU-I SEF	RjZ0N8miJrU
1.00	fuzzy	NinjaRamo/Muzica	MO - Ciue Fatza Ai	->	MO - Ciue Fatza Ai	N84F3xi3jEc
1.00	fuzzy	NinjaRamo/Muzica	MO (feat.Pufoshenia) - Ler is MOre	->	MO (feat.Pufoshenia) - Ler is MOre	KmD0HuEPL-o
1.00	fuzzy	PIRAMIDA	25 - Piramida 25 - Blestemu Continua	->	Piramida 25 - Blestemu Continua	WSyS5qb8DW0
1.00	fuzzy	PIRAMIDA	26 - Piramida 26 - APA	->	Piramida 26 - APA	ETKCC1vR9SI
1.00	ep	RObotzi/Sezonul 1	s01e00	->	Robotzi S01 Ep 0 Tatuaj	Rtog93HyR3k
1.00	ep	RObotzi/Sezonul 1	s01e01	->	RObotzi.S01.Ep.1.Vin	2iCLCJifhfQ
1.00	ep	RObotzi/Sezonul 1	s01e02	->	RObotzi.S01.Ep2.Defect	teV8-IGhSt8
1.00	ep	RObotzi/Sezonul 1	s01e03	->	RObotzi.S01.Ep3.Prieten	D8kCiZGtXGM
1.00	ep	RObotzi/Sezonul 1	s01e04	->	RObotzi.S01.Ep4.Bilos	OIpRU2DZgvE
1.00	ep	RObotzi/Sezonul 1	s01e05	->	RObotzi.S01.Ep5.Intrus	IN1puDtSoXE
1.00	ep	RObotzi/Sezonul 1	s01e06	->	RObotzi.S01.Ep6.Paralele	P1M28fAPHl4
1.00	ep	RObotzi/Sezonul 1	s01e07	->	RObotzi.S01.Ep7.Tratament	ehJC3ulJ1NM
1.00	ep	RObotzi/Sezonul 1	s01e08	->	RObotzi.S01.Ep8.Huda	Jn-h49jsb5U
1.00	ep	RObotzi/Sezonul 1	s01e09	->	RObotzi.S01.Ep9.Gin	6jBzmVI6M9E
1.00	ep	RObotzi/Sezonul 1	s01e10	->	RObotzi.S01.Ep10.Pufoshenia	vRWMkpJWUas
1.00	ep	RObotzi/Sezonul 1	s01e11	->	RObotzi.S01.Ep11.Psihic	s4itGkB168Q
1.00	ep	RObotzi/Sezonul 1	s01e12	->	RObotzi.S01.Ep12.Bomba	nBrWrH2ZgUA
1.00	ep	RObotzi/Sezonul 1	s01e13	->	RObotzi.S01.Ep13.Pascal	F5hq0pLW1sA
1.00	ep	RObotzi/Sezonul 1	s01e14	->	RObotzi.S01.Ep14.Dietatietoru	f0sQkN5yFYY
1.00	ep	RObotzi/Sezonul 1	s01e15	->	RObotzi.S01.Ep15.Kidnapare	X4xVRgjdwdw
1.00	ep	RObotzi/Sezonul 1	s01e16	->	RObotzi S01 Ep16 Grim	GaHri6vcMU0
1.00	ep	RObotzi/Sezonul 1	s01e17	->	RObotzi S01 Ep17 Vocatie	s0dM0QKAEfI
1.00	ep	RObotzi/Sezonul 1	s01e18	->	RObotzi.S01.Ep18.Control	UXyC9D-UN5Y
1.00	ep	RObotzi/Sezonul 1	s01e19	->	RObotzi.S01.Ep19.Mini	gpKf4iLZo7Y
1.00	ep	RObotzi/Sezonul 1	s01e20	->	RObotzi.S01.Ep20.Mazga	LQM3sDL3lWw
1.00	ep	RObotzi/Sezonul 1	s01e21	->	RObotzi.S01.Ep21.Fredonare	uauUufxvFoY
1.00	ep	RObotzi/Sezonul 1	s01e22	->	RObotzi.S01.Ep22.Voiaj	p_GF3I13bpg
1.00	ep	RObotzi/Sezonul 1	s01e23	->	RObotzi.S01.Ep23.Destin	h_1nqGY37zM
1.00	ep	RObotzi/Sezonul 1	s01e24	->	RObotzi.S01.Ep24.Berila	alHd5WXdF9Q
1.00	ep	RObotzi/Sezonul 2	s02e01	->	RObotzi.S02.Ep1.Onomastica	LO5bHIEIXW0
1.00	ep	RObotzi/Sezonul 2	s02e02	->	RObotzi.S02.Ep2.Licurici	J_DaN7iiTh0
1.00	ep	RObotzi/Sezonul 2	s02e03	->	RObotzi.S02.Ep3.Eusebiu	5tFw9efzeCk
1.00	ep	RObotzi/Sezonul 2	s02e04	->	RObotzi.S02.Ep4.Evilos	AEF8boLiuho
1.00	ep	RObotzi/Sezonul 2	s02e05	->	RObotzi.S02.Ep5.Gogoshar	Boe9Mks2OYs
1.00	ep	RObotzi/Sezonul 2	s02e06	->	RObotzi.S02.Ep6.Beznos	chBFhZ4VcRc
1.00	ep	RObotzi/Sezonul 2	s02e07	->	RObotzi.S02.Ep7.Fomist	fdbPBBbsw3M
1.00	ep	RObotzi/Sezonul 2	s02e08	->	Robotzi.S02.Ep.8.Super	21wPWq0Crzg
1.00	ep	RObotzi/Sezonul 2	s02e09	->	RObotzi.S02.Ep9.Plictis	LXvhwJvBkyM
1.00	ep	RObotzi/Sezonul 2	s02e10	->	RObotzi.S02.Ep10.Concurs	OKZZRsOoSVU
1.00	ep	RObotzi/Sezonul 2	s02e11	->	RObotzi.S02.Ep11.Artific	QIsmIYyvEJ8
1.00	ep	RObotzi/Sezonul 2	s02e12	->	RObotzi.S02.Ep12.Reportaj	phethO_lypQ
1.00	ep	RObotzi/Sezonul 2	s02e13	->	RObotzi.S02.Ep13.Virus	67QGHDrVjtI
1.00	ep	RObotzi/Sezonul 2	s02e14	->	RObotzi.S02.Ep14.Subtil	ewPsvFyehLU
1.00	ep	RObotzi/Sezonul 2	s02e15	->	RObotzi.S02.Ep15.Datorie	OYwAqxB1QFs
1.00	ep	RObotzi/Sezonul 2	s02e16	->	RObotzi.S02.Ep16.Fuflet	mbp3GDYfQ7k
1.00	ep	RObotzi/Sezonul 2	s02e17	->	RObotzi.S02.Ep17.OZN	TaGN30OHqVs
1.00	ep	RObotzi/Sezonul 2	s02e18	->	RObotzi.S02.Ep18.Proportie	dmRU1Ii4a64
1.00	ep	RObotzi/Sezonul 2	s02e19	->	RObotzi.S02.Ep19.Mat	lU5G5j6ynBw
1.00	ep	RObotzi/Sezonul 2	s02e20	->	RObotzi.S02.Ep20.Martisor	HB1eZV1jM8Q
1.00	ep	RObotzi/Sezonul 2	s02e21	->	RObotzi.S02.Ep21.Terasa	aYPFHoO-Ae0
1.00	ep	RObotzi/Sezonul 2	s02e22	->	RObotzi.S02.Ep22.Pornache	TUhBH13qMM4
1.00	ep	RObotzi/Sezonul 2	s02e23	->	RObotzi.S02.Ep23.Banile	ziUoUX8DkPw
1.00	ep	RObotzi/Sezonul 3	s03e01	->	RObotzi.S03.Ep1.Pseudoname	dbc3IcNSO1M
1.00	ep	RObotzi/Sezonul 3	s03e02	->	RObotzi.S03.Ep02.Boboleu	KSSoALMXq34
1.00	ep	RObotzi/Sezonul 3	s03e03	->	RObotzi.S03.Ep3.Hobby	o0Ei81re1Ao
1.00	ep	RObotzi/Sezonul 3	s03e04	->	RObotzi.S03.Ep4.Proiect	8Xi-cKelEZQ
1.00	ep	RObotzi/Sezonul 3	s03e05	->	RObotzi S03 Ep5 Colet	VRQuosybr6I
1.00	ep	RObotzi/Sezonul 3	s03e06	->	RObotzi.S03.Ep6.Desert	CNkEhzyEURA
1.00	ep	RObotzi/Sezonul 3	s03e07	->	RObotzi.S03.Ep7.Prezentare	-HJnWV82YUM
1.00	ep	RObotzi/Sezonul 3	s03e08	->	RObotzi.S03.Ep8.Comoara	Jyvp6CqpFPU
1.00	ep	RObotzi/Sezonul 3	s03e09	->	RObotzi.S03.Ep09.Jaf	WE1dUfke3qs
1.00	ep	RObotzi/Sezonul 3	s03e10	->	RObotzi.S03.Ep10.Mascarada	Q1jPRBiOfGk
1.00	ep	RObotzi/Sezonul 3	s03e11	->	RObotzi.S03.Ep11.Sejur	YslwEChToHw
1.00	ep	RObotzi/Sezonul 3	s03e12	->	RObotzi.S03.Ep12.Speis	c08kbQkQF7A
1.00	ep	RObotzi/Sezonul 3	s03e13	->	RObotzi.S03.Ep13.Sugstanta	4z0WmWUT2rM
1.00	ep	RObotzi/Sezonul 3	s03e14	->	RObotzi.S03.Ep14.Macheciau	7wTt7Zs48mY
1.00	ep	RObotzi/Sezonul 3	s03e15	->	RObotzi.S03.Ep15.Piftel	8wQh-Zvec44
1.00	ep	RObotzi/Sezonul 3	s03e16	->	RObotzi.S03.Ep16.Varcolac	4J-XwyiJkRQ
1.00	ep	RObotzi/Sezonul 3	s03e17	->	RObotzi.S03.Ep17.Condiment	QlnvgD81zag
1.00	ep	RObotzi/Sezonul 3	s03e18	->	RObotzi.S03.Ep18.Nicolae	ObKGIf_40Jw
1.00	ep	RObotzi/Sezonul 3	s03e20	->	RObotzi.S03.Ep20.Meserie	o-kKQJo-uIQ
1.00	ep	RObotzi/Sezonul 3	s03e21	->	RObotzi.S03.Ep21.Atractie	7hfvk4CoJy0
1.00	ep	RObotzi/Sezonul 3	s03e22	->	RObotzi.S03.Ep22.Solutie	K8r7l290T3o
1.00	ep	RObotzi/Sezonul 3	s03e23	->	RObotzi.S03.Ep23.Star	QupsvH-W-YE
1.00	ep	RObotzi/Sezonul 4	s04e01	->	RObotzi.S04.Ep01.Sageata	H0UyP5_37Ic
1.00	ep	RObotzi/Sezonul 4	s04e02	->	RObotzi.S04.Ep02.Binoclu	JEB95xws9Dk
1.00	ep	RObotzi/Sezonul 4	s04e04	->	RObotzi.S04.Ep04.Skater	o2_BKEVb5pU
1.00	ep	RObotzi/Sezonul 4	s04e06	->	RObotzi.S04.Ep06.Inventie	D7UkOe2_H9s
1.00	ep	RObotzi/Sezonul 4	s04e07	->	RObotzi.S04.Ep07.Nevazut	Zwz-DP7BuPo
1.00	ep	RObotzi/Sezonul 4	s04e08	->	RObotzi.S04.Ep08.Pedeapsa	g6yVnkv-d0w
1.00	ep	RObotzi/Sezonul 4	s04e09	->	RObotzi.S04.Ep09.Parci	k42FQM7TrG4
1.00	ep	RObotzi/Sezonul 4	s04e10	->	RObotzi.S04.Ep10.Craciun	-juDAPNv0dQ
1.00	ep	RObotzi/Sezonul 4	s04e11	->	RObotzi.S04.Ep11.Cap	cXqKl0j7Pfc
1.00	ep	RObotzi/Sezonul 4	s04e12	->	RObotzi.S04.Ep12.MOda	LOc8JDRNQWA
1.00	ep	RObotzi/Sezonul 4	s04e13	->	RObotzi.S04.Ep13.Vlog	RoqF138J-1c
1.00	ep	RObotzi/Sezonul 4	s04e14	->	RObotzi.S04.Ep14.Cuvinte	d4-r7SEcaAM
1.00	ep	RObotzi/Sezonul 4	s04e15	->	RObotzi.S04.Ep15.Comic	ekhkqWCRIlA
1.00	ep	RObotzi/Sezonul 4	s04e16	->	RObotzi.S04.Ep16.Examen	7NJCwxCLklg
1.00	ep	RObotzi/Sezonul 4	s04e17	->	RObotzi.S04.Ep17.Planeta	4ql0xDyJuZU
1.00	ep	RObotzi/Sezonul 4	s04e19	->	RObotzi.S04.Ep19.Truc	7hYhQssXjN8
1.00	ep	RObotzi/Sezonul 4	s04e20	->	RObotzi.S04.Ep20.Seama	Blu_ql4fBhI
1.00	ep	RObotzi/Sezonul 4	s04e21	->	RObotzi.S04.Ep21.Val	UazjFVB5Xn0
1.00	ep	RObotzi/Sezonul 4	s04e22	->	RObotzi.S04.Ep22.Inghet	QtzMLGNOTI8
1.00	ep	RObotzi/Sezonul 4	s04e23	->	RObotzi.S04.Ep23.Poker	a9xJVeToCzY
1.00	ep	RObotzi/Sezonul 4	s04e24	->	RObotzi.S04.Ep24.Hipnoza	md3yP7xTl78
1.00	ep	RObotzi/Sezonul 5	s05e01	->	RObotzi.S05.Ep01.Copac	iBpX8tzgOlg
1.00	ep	RObotzi/Sezonul 5	s05e02	->	RObotzi.S05.Ep02.Fin	nIkbfnNUaQM
1.00	ep	RObotzi/Sezonul 5	s05e03	->	RObotzi.S05.Ep03.Somn	ldIRps48T3E
1.00	ep	RObotzi/Sezonul 5	s05e04	->	RObotzi.S05.Ep04.Curent	knjvTmagZYA
1.00	ep	RObotzi/Sezonul 5	s05e05	->	RObotzi.S05.Ep05.Deratizare	40v7RgRSfuc
1.00	ep	RObotzi/Sezonul 5	s05e06	->	RObotzi.S05.Ep.06.OM	-O2uQCKV4H4
1.00	ep	RObotzi/Sezonul 5	s05e07	->	RObotzi.S05EP07.BAC 	ikChB5YxqfY
1.00	ep	RObotzi/Sezonul 5	s05e08	->	RObotzi.S05.Ep08.COCA	1KWrWNZ6I8w
1.00	ep	RObotzi/Sezonul 5	s05e09	->	RObotzi.S05.Ep09.COVIDEL	tFA6KWDs_aE
1.00	ep	RObotzi/Sezonul 5	s05e10	->	RObotzi.S05.Ep10.COVIDEL 2	euFDVPdYiMk
1.00	ep	RObotzi/Sezonul 5	s05e11	->	RObotzi.S05.Ep11.CUPIDRONA	2DdERYZ7h5U
1.00	ep	RObotzi/Sezonul 5	s05e12	->	RObotzi.S05.Ep12.TREN	eWOaFHZ1NgA
1.00	ep	RObotzi/Sezonul 5	s05e13	->	RObotzi.S05.Ep13.Jniti	jntAF_Oso3U
1.00	ep	RObotzi/Sezonul 5	s05e14	->	RObotzi.S05.Ep14.1Mai	9xZyss2AfoI
1.00	ep	RObotzi/Sezonul 5	s05e15	->	RObotzi.S05.Ep15.TIKTOK	PXzsLTL8ewk